 
15433,20160117 16:51,20160117 16:52:01,60th Street & Woodlawn,20160117 16:52,1813
14040,20160117 16:51,20160117 16:52:01,Woodlawn & 57th Street,20160117 16:57,1813
1523,20160117 16:50,20160117 16:52:01,E Hyde Park & East End,20160117 17:00,1658
14039,20160117 16:51,20160117 16:52:01,Woodlawn & 53rd Street,20160117 17:00,1813
15817,20160117 16:50,20160117 16:52:01,Woodlawn & Hyde Park Blvd,20160117 17:05,1658
14033,20160117 16:50,20160117 16:52:01,Ellis & 55th Street,20160117 17:11,1658
14019,20160117 16:50,20160117 16:52:01,60th Street & Ellis,20160117 17:15,1658
