 
10563,20160118 18:15,20160118 18:15:32,55th Street & Lake Park,20160118 18:18,1535
15433,20160118 18:15,20160118 18:15:32,60th Street & Woodlawn,20160118 18:20,1529
1520,20160118 18:15,20160118 18:15:32,S Hyde Park & 54th Street,20160118 18:20,1535
16036,20160118 18:15,20160118 18:15:32,University & 57th Street,20160118 18:24,1529
10563,20160118 18:15,20160118 18:15:32,55th Street & Lake Park,20160118 18:28,1529
1520,20160118 18:15,20160118 18:15:32,S Hyde Park & 54th Street,20160118 18:30,1529
