 
15433,20160117 16:50,20160117 16:51:01,60th Street & Woodlawn,20160117 16:51,1813
14040,20160117 16:50,20160117 16:51:01,Woodlawn & 57th Street,20160117 16:56,1813
14039,20160117 16:50,20160117 16:51:01,Woodlawn & 53rd Street,20160117 16:59,1813
1523,20160117 16:50,20160117 16:51:01,E Hyde Park & East End,20160117 17:00,1658
15817,20160117 16:50,20160117 16:51:01,Woodlawn & Hyde Park Blvd,20160117 17:05,1658
14033,20160117 16:50,20160117 16:51:01,Ellis & 55th Street,20160117 17:11,1658
14019,20160117 16:50,20160117 16:51:01,60th Street & Ellis,20160117 17:15,1658
