 
15433,20160117 16:45,20160117 16:46:16,60th Street & Woodlawn,20160117 16:52,1813
14040,20160117 16:45,20160117 16:46:16,Woodlawn & 57th Street,20160117 16:56,1813
14039,20160117 16:45,20160117 16:46:16,Woodlawn & 53rd Street,20160117 16:59,1813
1523,20160117 16:45,20160117 16:46:16,E Hyde Park & East End,20160117 17:00,1658
15817,20160117 16:45,20160117 16:46:16,Woodlawn & Hyde Park Blvd,20160117 17:05,1658
14033,20160117 16:45,20160117 16:46:16,Ellis & 55th Street,20160117 17:11,1658
14019,20160117 16:45,20160117 16:46:16,60th Street & Ellis,20160117 17:15,1658
