 
16036,20160117 16:51,20160117 16:52:01,University & 57th Street,20160117 16:54,1182
10563,20160117 16:51,20160117 16:52:01,55th Street & Lake Park,20160117 16:58,1182
1520,20160117 16:51,20160117 16:52:01,S Hyde Park & 54th Street,20160117 17:00,1182
15919,20160117 16:51,20160117 16:52:01,Shoreland Dorm,20160117 17:02,1182
10567,20160117 16:51,20160117 16:52:01,55th Street & Lake Park,20160117 17:05,1182
14033,20160117 16:51,20160117 16:52:01,Ellis & 55th Street,20160117 17:10,1182
14019,20160117 16:51,20160117 16:52:01,60th Street & Ellis,20160117 17:14,1182
15433,20160117 16:51,20160117 16:52:01,60th Street & Woodlawn,20160117 17:20,1182
