 
15433,20160118 18:16,20160118 18:16:51,60th Street & Woodlawn,20160118 18:17,1597
14040,20160118 18:16,20160118 18:16:51,Woodlawn & 57th Street,20160118 18:21,1597
14039,20160118 18:16,20160118 18:16:51,Woodlawn & 53rd Street,20160118 18:24,1597
 
15433,20160118 18:16,20160118 18:17:22,60th Street & Woodlawn,20160118 18:17,1597
14040,20160118 18:16,20160118 18:17:22,Woodlawn & 57th Street,20160118 18:21,1597
14039,20160118 18:16,20160118 18:17:22,Woodlawn & 53rd Street,20160118 18:24,1597
 
14040,20160118 18:16,20160118 18:17:52,Woodlawn & 57th Street,20160118 18:21,1597
14039,20160118 18:16,20160118 18:17:52,Woodlawn & 53rd Street,20160118 18:24,1597
 
14040,20160118 18:18,20160118 18:18:23,Woodlawn & 57th Street,20160118 18:22,1597
14039,20160118 18:18,20160118 18:18:23,Woodlawn & 53rd Street,20160118 18:25,1597
 
14040,20160118 18:18,20160118 18:18:53,Woodlawn & 57th Street,20160118 18:22,1597
14039,20160118 18:18,20160118 18:18:53,Woodlawn & 53rd Street,20160118 18:25,1597
 
14040,20160118 18:19,20160118 18:19:23,Woodlawn & 57th Street,20160118 18:22,1597
14039,20160118 18:19,20160118 18:19:23,Woodlawn & 53rd Street,20160118 18:25,1597
 
14040,20160118 18:19,20160118 18:19:54,Woodlawn & 57th Street,20160118 18:22,1597
14039,20160118 18:19,20160118 18:19:54,Woodlawn & 53rd Street,20160118 18:24,1597
 
14040,20160118 18:20,20160118 18:20:24,Woodlawn & 57th Street,20160118 18:22,1597
14039,20160118 18:20,20160118 18:20:24,Woodlawn & 53rd Street,20160118 18:24,1597
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
